"num","classifier","noun","sent_num","cl_token_num","noun_token_num","file_name","cl_freq_for_noun","cl_prop_for_noun"
"１４","条","公路",2372,7,9,"010801.csv",2582,0.861
"１４","条","公路",2374,30,32,"010801.csv",2582,0.861
"两","部","门将",2378,2,3,"010801.csv",41,0.049
"千","名","旅客",2381,15,16,"010801.csv",3056,0.821
"两","位","演技",2398,35,36,"010801.csv",56,0.651
"一","个","旅客",2406,29,31,"010801.csv",174,0.047
"２０００多","名","旅客",2409,20,21,"010801.csv",3056,0.821
"一","个","旅客",2410,22,23,"010801.csv",174,0.047
"３４","个","消防站",2415,10,11,"010801.csv",20,0.833
"一","家","三十",2444,10,11,"010801.csv",9,0.191
"多","家","卫视",2451,7,9,"010801.csv",118,0.678
"一","份","协议",2452,18,29,"010801.csv",1125,0.301
"２７３","名","人和",2460,25,27,"010801.csv",74,0.44
"６３","个","孩子",2460,29,30,"010801.csv",15623,0.864
"一","所","监狱",2460,12,14,"010801.csv",215,0.494
"１０７３４","家","企业",2473,9,10,"010801.csv",34585,0.759
"４０","个","城市",2473,5,6,"010801.csv",24790,0.866
"１６００多","名","观众",2484,22,23,"010801.csv",2380,0.578
"一","项","调查",2493,3,10,"010801.csv",4789,0.67
"２４１６","家","机构",2494,5,8,"010801.csv",9296,0.596
"１００","家","机构",2496,27,29,"010801.csv",9296,0.596
"一","个","孩子",2514,26,30,"010801.csv",15623,0.864
"一","家","人",2515,18,19,"010801.csv",12915,0.132
"一","个","常规赛",2529,12,13,"010801.csv",95,0.075
"一","支","八一队",2538,10,11,"010801.csv",5,0.312
"一","个","威胁",2544,13,16,"010801.csv",294,0.795
"一","个","消息",2546,6,8,"010801.csv",3950,0.634
"两","张","网络",2568,17,18,"010801.csv",392,0.172
"九","场","推荐",2596,9,10,"010801.csv",96,0.64
"两","名","球员",2608,25,30,"010801.csv",16827,0.689
"三","个","扣子",2625,35,37,"010801.csv",24,0.471
"两","只","新股",2632,6,7,"010801.csv",1159,0.838
"五","只","新股",2642,3,4,"010801.csv",1159,0.838
"两","个","名单",2655,11,24,"010801.csv",228,0.159
"三","位","国脚",2656,16,17,"010801.csv",283,0.171
"三","位","国脚",2657,8,9,"010801.csv",283,0.171
"３","名","代表",2660,25,26,"010801.csv",4920,0.503
"两","名","疑犯",2689,13,23,"010801.csv",232,0.967
"一","名","疑犯",2689,28,29,"010801.csv",232,0.967
"一","名","男子",2690,7,8,"010801.csv",11247,0.8
"一","名","不愿意",2691,2,3,"010801.csv",172,0.717
"一","项","挑战",2696,15,18,"010801.csv",189,0.081
"一","位","老人",2696,3,7,"010801.csv",3379,0.689
"一","位","评委",2705,15,21,"010801.csv",343,0.566
"一","条","建议",2711,7,8,"010801.csv",538,0.252
"１９","个","奥运",2721,22,23,"010801.csv",1692,0.391
"１２","项","工程",2721,17,19,"010801.csv",2818,0.49
"４","座","桥梁",2721,50,51,"010801.csv",955,0.771
"５","个","设施",2721,28,30,"010801.csv",555,0.467
"６２","条","道路",2721,46,47,"010801.csv",2664,0.872
"３３９","个","网站",2726,26,28,"010801.csv",2627,0.453
"１０","起","案例",2731,15,20,"010801.csv",214,0.117
"１４","个","满贯",2734,12,14,"010801.csv",377,0.48
"两","只","股票",2748,31,32,"010801.csv",5769,0.82
"两","只","跌幅",2748,20,34,"010801.csv",599,0.582
"首","个","代表",2750,21,32,"010801.csv",2243,0.229
"３５","辆","车",2770,6,7,"010801.csv",8695,0.819
"两","位","安全",2772,35,37,"010801.csv",26,0.043
"２００","个","开发",2792,6,9,"010801.csv",204,0.55
